File ID,Temperature (K),G,Pressure (bar),theta,wt%
1,77.0,-0.22339356,1,0.811547689,11.779049421679254
1,77.0,-0.22339356,2,0.895971653,12.846983297284773
1,77.0,-0.22339356,3,0.928156516,13.247334724553536
1,77.0,-0.22339356,4,0.945131908,13.45701567238895
1,77.0,-0.22339356,5,0.955618501,13.586040904365563
1,100.0,-0.01568775,1,0.519727738,7.877126793566693
1,100.0,-0.01568775,2,0.6839748,10.114704872818779
1,100.0,-0.01568775,3,0.764509563,11.172602005155472
1,100.0,-0.01568775,4,0.812333771,11.789113783362092
1,100.0,-0.01568775,5,0.844012292,12.192797923131138
1,273.0,1.34600895,1,0.077176242,1.253800625254237
1,273.0,1.34600895,2,0.143293621,2.3032000517656233
1,273.0,1.34600895,3,0.200570215,3.1944148783575557
1,273.0,1.34600895,4,0.250668101,3.9607050287045737
1,273.0,1.34600895,5,0.294857297,4.626616838777096
1,298.15,1.51606416,1,0.071818439,1.1677745379330846
1,298.15,1.51606416,2,0.134012321,2.157237205892897
1,298.15,1.51606416,3,0.188394866,3.006331817900791
1,298.15,1.51606416,4,0.236350733,3.742949511947452
1,298.15,1.51606416,5,0.278955577,4.388051180622708
1,400.0,2.15173179,1,0.062546203,1.018542743669744
1,400.0,2.15173179,2,0.11772891,1.9000986927920152
1,400.0,2.15173179,3,0.166776176,2.670562167339178
1,400.0,2.15173179,4,0.210657359,3.349688027378781
1,400.0,2.15173179,5,0.250147828,3.952809351523838
1,500.0,2.70519561,1,0.061635849,1.003866772656549
1,500.0,2.70519561,2,0.116114861,1.8745368905509245
1,500.0,2.70519561,3,0.164615158,2.636870570954777
1,500.0,2.70519561,4,0.208069733,3.309903772873686
1,500.0,2.70519561,5,0.24722705,3.908459431915301
1,600.0,3.200301,1,0.063902217,1.0403952087357449
1,600.0,3.200301,2,0.12012799,1.9380684840494582
1,600.0,3.200301,3,0.169982176,2.72050273977449
1,600.0,3.200301,4,0.214489756,3.408550283175045
1,600.0,3.200301,5,0.254467052,4.018318689846874
1,700.0,3.64646061,1,0.067757648,1.1024736468976148
1,700.0,3.64646061,2,0.126915781,2.0453385329425737
1,700.0,3.64646061,3,0.179013831,2.8609156782348766
1,700.0,3.64646061,4,0.225244482,3.5733511812028036
1,700.0,3.64646061,5,0.266546093,4.2010470835313525
2,77.0,-0.37587849,1,0.921052809,13.20056345549303
2,77.0,-0.37587849,2,0.958904206,13.668899010935034
2,77.0,-0.37587849,3,0.972222288,13.832484045112894
2,77.0,-0.37587849,4,0.979021029,13.915753703561581
2,77.0,-0.37587849,5,0.983146108,13.96619846779801
2,100.0,-0.21209838,1,0.744107903,10.942071268916928
2,100.0,-0.21209838,2,0.853281958,12.349216317663595
2,100.0,-0.21209838,3,0.897158399,12.902292494651673
2,100.0,-0.21209838,4,0.920833394,13.197833819003044
2,100.0,-0.21209838,5,0.935647806,13.381748089284052
2,273.0,0.82329312,1,0.179796313,2.8831446045273723
2,273.0,0.82329312,2,0.304792126,4.791489553119654
