File ID,Temperature (K),G,Pressure (bar),theta
1,77,-0.000353,1,0.513297
1,77,-0.000353,2,0.678383
1,77,-0.000353,3,0.759842
1,77,-0.000353,4,0.808377
1,77,-0.000353,5,0.840592
1,100,-2.30E-05,1,0.500667
1,100,-2.30E-05,2,0.66726
1,100,-2.30E-05,3,0.7505
1,100,-2.30E-05,4,0.800427
1,100,-2.30E-05,5,0.833704
1,273,0.002147,1,0.477199
1,273,0.002147,2,0.646086
1,273,0.002147,3,0.7325
1,273,0.002147,4,0.784997
1,273,0.002147,5,0.820269
1,298.15,0.002419,1,0.476479
1,298.15,0.002419,2,0.645426
1,298.15,0.002419,3,0.731934
1,298.15,0.002419,4,0.784509
1,298.15,0.002419,5,0.819843
1,400,0.003432,1,0.475128
1,400,0.003432,2,0.644185
1,400,0.003432,3,0.73087
1,400,0.003432,4,0.783592
1,400,0.003432,5,0.819042
1,500,0.004314,1,0.474989
1,500,0.004314,2,0.644058
1,500,0.004314,3,0.730761
1,500,0.004314,4,0.783498
1,500,0.004314,5,0.818959
1,600,0.005102,1,0.47535
1,600,0.005102,2,0.644389
1,600,0.005102,3,0.731045
1,600,0.005102,4,0.783743
1,600,0.005102,5,0.819173
1,700,0.005814,1,0.475922
1,700,0.005814,2,0.644915
1,700,0.005814,3,0.731496
1,700,0.005814,4,0.784131
1,700,0.005814,5,0.819513
2,77,-0.000596,1,0.522441
2,77,-0.000596,2,0.68632
2,77,-0.000596,3,0.766462
2,77,-0.000596,4,0.813986
2,77,-0.000596,5,0.845439
2,100,-0.000336,1,0.509747
2,100,-0.000336,2,0.675275
2,100,-0.000336,3,0.75724
2,100,-0.000336,4,0.806166
2,100,-0.000336,5,0.838679
2,273,0.001314,1,0.486039
2,273,0.001314,2,0.654141
2,273,0.001314,3,0.739381
2,273,0.001314,4,0.790913
2,273,0.001314,5,0.82543
2,298.15,0.00151,1,0.485311
2,298.15,0.00151,2,0.65348
2,298.15,0.00151,3,0.738819
2,298.15,0.00151,4,0.79043
2,298.15,0.00151,5,0.82501
2,400,0.002218,1,0.483918
2,400,0.002218,2,0.652217
2,400,0.002218,3,0.737741
2,400,0.002218,4,0.789505
2,400,0.002218,5,0.824203
2,500,0.002798,1,0.48377
2,500,0.002798,2,0.652083
2,500,0.002798,3,0.737627
2,500,0.002798,4,0.789407
2,500,0.002798,5,0.824117
2,600,0.003285,1,0.484121
2,600,0.003285,2,0.652401
2,600,0.003285,3,0.737899
2,600,0.003285,4,0.78964
2,600,0.003285,5,0.824321
2,700,0.003697,1,0.484682
2,700,0.003697,2,0.65291
2,700,0.003697,3,0.738333
2,700,0.003697,4,0.790013
2,700,0.003697,5,0.824646
3,77,-0.000109,1,0.504107
3,77,-0.000109,2,0.670307
3,77,-0.000109,3,0.753068
3,77,-0.000109,4,0.802616
3,77,-0.000109,5,0.835602
3,100,0.000429,1,0.487556
3,100,0.000429,2,0.655513
3,100,0.000429,3,0.74055
3,100,0.000429,4,0.791915
3,100,0.000429,5,0.826303
3,273,0.004875,1,0.448377
3,273,0.004875,2,0.619144
3,273,0.004875,3,0.709175
3,273,0.004875,4,0.764779
3,273,0.004875,5,0.802534
3,298.15,0.005548,1,0.446222
3,298.15,0.005548,2,0.617087
3,298.15,0.005548,3,0.707374
3,298.15,0.005548,4,0.763208
3,298.15,0.005548,5,0.801149
3,400,0.008312,1,0.440003
3,400,0.008312,2,0.611114
3,400,0.008312,3,0.70213
3,400,0.008312,4,0.758623
3,400,0.008312,5,0.797103
3,500,0.01107,1,0.436118
3,500,0.01107,2,0.607356
3,500,0.01107,3,0.698819
3,500,0.01107,4,0.755721
3,500,0.01107,5,0.794539
3,600,0.013862,1,0.43337
3,600,0.013862,2,0.604687
3,600,0.013862,3,0.69646
3,600,0.013862,4,0.753651
3,600,0.013862,5,0.792708
3,700,0.016681,1,0.431301
3,700,0.016681,2,0.60267
3,700,0.016681,3,0.694675
3,700,0.016681,4,0.752082
3,700,0.016681,5,0.791319
4,77,-0.000459,1,0.517288
4,77,-0.000459,2,0.681858
4,77,-0.000459,3,0.762745
4,77,-0.000459,4,0.810839
4,77,-0.000459,5,0.842721
4,100,-0.000161,1,0.504671
4,100,-0.000161,2,0.670806
4,100,-0.000161,3,0.753487
4,100,-0.000161,4,0.802973
4,100,-0.000161,5,0.835912
4,273,0.001775,1,0.481146
