FileID,E,G,length,n,m,diameter,Ti_count,FG_C=O,FG_NH2,FG_SO3H,FG_none,TiType_1Ti_substitution,TiType_1Ti_surface,TiType_2Ti_substitution,TiType_2Ti_surface,TiType_none,TDA_H0_max,TDA_H0_min,TDA_H0_mean,TDA_H0_std,TDA_H0_sum,TDA_H1_max,TDA_H1_min,TDA_H1_mean,TDA_H1_std,TDA_H1_sum,TDA_H2_max,TDA_H2_min,TDA_H2_mean,TDA_H2_std,TDA_H2_sum,theta
1,-0.000043,-0.000013,10,6,6,0.81376145,0,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,1.419549807,1.09999996,1.358224665,0.122333786,177.9274311,1.039962455,0.621357508,0.94693904,0.174030629,51.13470819,0.323164014,0.174097901,0.290038166,0.061972657,15.66206097,0.513297
2,-0.000044,-0.000022,13,6,6,0.81376145,0,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,1.419549807,1.09999996,1.367197733,0.114409587,211.9156487,1.039962455,0.621357508,0.963852369,0.161453608,63.61425633,0.323164014,0.174097822,0.296061027,0.057493969,19.54002775,0.522441
3,-0.000047,-0.000004,15,6,6,0.81376145,0,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,1.419549807,1.09999996,1.37376462,0.107770892,245.903867,1.039962455,0.621357508,0.975561593,0.151033113,76.09380425,0.323164014,0.174097901,0.300230711,0.053783194,23.41799548,0.504107
4,-0.000042,-0.000017,20,6,6,0.81376145,0,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,1.419549807,1.09999996,1.382732612,0.097267399,313.880303,1.039962455,0.621357508,0.990714709,0.134870167,101.0529003,0.323164014,0.174097901,0.305626765,0.048027536,31.17392998,0.517288
5,0.017543,0.017591,10,6,6,0.81376145,0,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,1.780017117,0.95999789,1.333967519,0.137835805,181.4195826,1.084405057,0.212263733,0.854142202,0.320922486,46.12367889,0.314009598,0.016627712,0.171705665,0.094246532,7.211637925,0
6,-0.000021,0.000038,10,6,6,0.81376145,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,1.539995166,1.069976601,1.327902435,0.128372382,177.9389262,1.084405602,0.212453217,0.854137519,0.320926835,46.12342601,0.313962611,0.01656063,0.1716682,0.094257006,7.210064405,0.460707
7,-0.000045,0.000012,10,6,6,0.81376145,0,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,1.469997109,0.999991086,1.324929088,0.13174846,177.5404979,1.084455215,0.212476597,0.854146715,0.320913429,46.12392261,0.313941005,0.016534219,0.171667146,0.094262019,7.210020151,0.487983
8,-0.000053,0.000008,10,6,6,0.81376145,1,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,2.090037328,1.069973659,1.334439462,0.14182118,176.146009,1.085555082,0.207530943,0.849838948,0.321441749,45.89130317,0.311150255,0.002665992,0.177684695,0.093242139,7.462757196,0.492013
9,-0.000032,0.000022,10,6,6,0.81376145,1,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,1.745694925,1.069968554,1.333796728,0.132698986,174.7273714,1.168327646,0.111756041,0.844488293,0.324541028,45.6023678,0.319057437,0.032480377,0.173999074,0.091815014,6.437965752,0.477258
10,-0.000037,0.000019,10,6,6,0.81376145,2,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,2.090012361,1.069964366,1.324040626,0.152481172,176.0974032,1.034408185,0.099802923,0.774854483,0.321497385,42.61699659,0.274788249,0.063435001,0.186164031,0.058639627,7.818889288,0.480869
11,-0.000042,0.000021,10,6,6,0.81376145,2,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,1.799500166,1.069961576,1.329653641,0.139310867,174.184627,1.435161602,0.059945207,0.808577558,0.316756178,42.85461058,0.275275128,0.026404074,0.174725969,0.070175578,5.940682956,0.478461
12,-0.000043,-0.000003,10,7,5,0.817520183,0,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,1.419788689,1.099999997,1.353391469,0.126071948,163.7603678,1.039720353,0.622728581,0.950998625,0.170659444,44.69693539,0.324729419,0.170008371,0.291809988,0.063321625,13.71506942,0.502939
13,-0.000042,0.000012,13,7,5,0.817520183,0,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,1.41978881,1.099999964,1.365897751,0.115625039,206.2505604,1.039720353,0.622728528,0.975765148,0.146060183,59.521674,0.324729419,0.170008364,0.299365249,0.057280169,18.26128022,0.487682
14,0.000037,0.000084,15,7,5,0.817520183,0,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,1.419788818,1.09999996,1.371768584,0.109849228,234.5724279,1.039720353,0.622728566,0.984772906,0.137199854,69.9188763,0.324729428,0.170008334,0.302937652,0.053821486,21.50857327,0.414965
15,-0.000043,0.000008,20,7,5,0.817520183,0,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,1.419788793,1.099999896,1.38148361,0.098794744,302.5449105,1.039720353,0.622728557,0.998654332,0.120989132,94.8721615,0.324729428,0.170008307,0.308442921,0.047482656,29.30207745,0.492051
16,0.000024,0.000076,10,7,5,0.817520183,0,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,1.77999329,0.960005394,1.329895682,0.142025019,167.5668559,1.070213382,0.163971377,0.851047879,0.31297084,39.99925029,0.310418463,0.010149586,0.184144276,0.090543257,6.813338223,0.422411
17,-0.000035,0.000015,10,7,5,0.817520183,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,1.539993165,1.069987489,1.323446955,0.131840952,164.1074224,1.073348378,0.169965947,0.852533778,0.311605514,40.06908756,0.309518413,0.046601818,0.184089854,0.087683729,6.811324592,0.484444
18,-0.043144,-0.043093,10,7,5,0.817520183,0,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,1.470001425,0.999989309,1.320268256,0.135553446,163.7132637,1.073339862,0.16279638,0.855966095,0.309905932,40.23040648,0.311814034,0.02944454,0.180162962,0.090373252,6.666029592,1
19,-0.00006,0,10,7,5,0.817520183,1,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,2.089989584,1.06997833,1.330567297,0.146588184,162.3292103,1.0733459,0.169988331,0.852574209,0.311632226,40.07098781,0.309568042,0.045952727,0.184133662,0.087742818,6.81294548,0.499548
20,-0.002336,-0.002278,10,7,5,0.817520183,1,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,1.624034236,1.069958462,1.3281013,0.134272747,160.7002573,1.081359923,0.13216882,0.843945882,0.324255998,39.66545645,0.306544919,0.022343826,0.176674361,0.089873658,6.006928284,0.999912
21,-0.000036,0.000023,10,7,5,0.817520183,2,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,2.090013464,1.069977532,1.324730191,0.158525191,162.9418134,1.032669535,0.051531892,0.801872673,0.286325361,37.68801562,0.296762009,0.094879599,0.20055432,0.052658493,7.420509827,0.476769
22,0.003112,0.003167,10,7,5,0.817520183,2,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,1.80199722,1.06995951,1.332967498,0.149751246,161.2890673,1.35111107,0.189370525,0.868080454,0.214114479,36.45937908,0.279850163,0.040168047,0.173133114,0.072496932,5.193993428,2.00E-06
23,-0.002734,-0.002691,10,13,1,1.059280016,0,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,1.419999954,1.099999925,1.360355657,0.122250195,210.8551268,1.038657883,0.021013267,0.848134857,0.366151712,50.88809141,0.359463876,0.18201397,0.352070006,0.035459118,16.89936027,0.999984
24,-0.004274,-0.004224,13,13,1,1.059280016,0,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,1.419999953,1.099999915,1.371146875,0.112381665,261.8890531,1.038657883,0.021013244,0.892101664,0.331016804,69.58392976,0.359463876,0.182013996,0.354086477,0.0304184,23.36970747,1
25,-0.003562,-0.003518,15,13,1,1.059280016,0,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,1.419999954,1.099999924,1.377087247,0.10609251,301.5821071,1.038657883,0.021013247,0.914403671,0.309304407,84.12513776,0.359463876,0.182014012,0.355027497,0.027704327,28.40219975,0.999999
26,0.000011,0.000058,20,13,1,1.059280016,0,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,1.419999957,1.099999904,1.386251192,0.094855524,392.3090875,1.038657884,0.021013253,0.946469224,0.271912601,117.3621838,0.359463876,0.182013954,0.356294991,0.023500046,39.90503897,0.441194
27,-0.000991,-0.000928,10,13,1,1.059280016,0,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,1.779938802,0.959999751,1.365029527,0.133535858,218.4047242,1.03866198,0.021012951,0.834807749,0.377531905,50.92327266,0.359470172,0.182017125,0.352066425,0.035457725,16.89918842,0.978266
28,-0.004013,-0.003958,10,13,1,1.059280016,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,1.539935537,1.070000825,1.359009706,0.124352289,214.7235335,1.038661884,0.020990943,0.848136549,0.366153722,50.88819295,0.359477152,0.182010661,0.350498827,0.036737076,16.82394368,1
29,-0.000603,-0.000553,10,13,1,1.059280016,0,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,1.469935581,0.999995,1.356488178,0.127932082,214.3251321,1.038661884,0.021013462,0.823097285,0.385425962,51.03203169,0.359476156,0.182017179,0.352066528,0.035457726,16.89919333,0.906187
30,0.010201,0.010263,10,13,1,1.059280016,1,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,2.08993523,1.099994976,1.365032902,0.135055584,212.9451327,1.038661904,0.021013468,0.848137323,0.36615283,50.88823937,0.359477288,0.18201719,0.352066586,0.035457737,16.89919614,0
31,-0.000415,-0.00036,10,13,1,1.059280016,1,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,1.419998405,1.099995041,1.360356131,0.122252198,210.8552003,1.038673503,0.020993883,0.848135609,0.366153531,50.88813657,0.359477602,0.182016635,0.352065565,0.035457599,16.89914714,0.814073
32,-0.002739,-0.002678,10,13,1,1.059280016,2,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,2.089935469,1.099994995,1.367098145,0.137073734,214.6344088,1.038661884,0.021013462,0.842608141,0.365656074,51.39909663,0.359477241,0.182017179,0.352066599,0.035457741,16.89919675,0.999983
33,-0.000738,-0.00068,10,13,1,1.059280016,2,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,1.419999954,1.099999925,1.360355657,0.122250195,210.8551268,1.038657883,0.021013267,0.848134857,0.366151712,50.88809141,0.359463876,0.18201397,0.352070006,0.035459118,16.89936027,0.941986
34,-0.001805,-0.001758,10,13,2,1.104617127,0,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,1.419999175,1.099999923,1.358699088,0.123801957,218.7505532,1.039043796,0.019203259,0.898635042,0.31472487,53.01946746,0.358528483,0.184230932,0.344857996,0.046859716,17.5877578,0.999262
35,-0.002314,-0.002269,13,13,2,1.104617127,0,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,1.41999918,1.099999935,1.370460769,0.113285794,275.4626146,1.039043797,0.019203258,0.934181527,0.278752281,73.80034065,0.358528483,0.18423095,0.348708806,0.040188328,24.75832522,0.999909
36,-0.002163,-0.002111,15,13,2,1.104617127,0,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,1.419999171,1.099999914,1.376249157,0.107261624,315.161057,1.039043797,0.019203248,0.949967224,0.259637764,88.34695181,0.358528483,0.184230997,0.350326152,0.036910029,29.77772294,0.999826
37,-0.000718,-0.000669,20,13,2,1.104617127,0,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,1.419999179,1.099999933,1.385325443,0.096368304,405.9003549,1.039043797,0.019203214,0.972770794,0.227300712,121.5963493,0.358528485,0.184230961,0.352569496,0.031671907,41.25063106,0.939439
38,-0.000973,-0.000913,10,13,2,1.104617127,0,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,1.77993667,0.959999508,1.363253832,0.134584942,226.3001361,1.039047625,0.019203399,0.898637454,0.314725785,53.01960978,0.358542525,0.184234037,0.344854565,0.0468578,17.58758283,0.976905
39,-0.000502,-0.000444,10,13,2,1.104617127,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,1.540000014,1.069999938,1.357432641,0.125757436,222.6189532,1.039043796,0.019203259,0.898635042,0.31472487,53.01946746,0.358528483,0.184230932,0.342679414,0.048719397,17.4766501,0.860822
40,-0.001409,-0.001352,10,13,2,1.104617127,0,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,1.470000069,1.000000012,1.355003374,0.129141463,222.2205533,1.039043796,0.019203259,0.898635042,0.31472487,53.01946746,0.358528483,0.184230932,0.344857996,0.046859716,17.5877578,0.996109
41,0.023646,0.02371,10,13,2,1.104617127,1,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,2.09000005,1.099999923,1.363213292,0.136063137,220.8405532,1.039043796,0.019203259,0.898635042,0.31472487,53.01946746,0.358528483,0.184230932,0.344857996,0.046859716,17.5877578,0
42,0.003535,0.003587,10,13,2,1.104617127,1,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,1.419999175,1.099999923,1.358699088,0.123801957,218.7505532,1.039043796,0.019203259,0.898635042,0.31472487,53.01946746,0.358528483,0.184230932,0.344857996,0.046859716,17.5877578,0
43,-0.000324,-0.00026,10,13,2,1.104617127,2,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,2.089999971,1.099999923,1.365472712,0.138660038,222.5720521,1.039043796,0.019203259,0.892168533,0.316019002,53.53011199,0.358528483,0.184230932,0.344857996,0.046859716,17.5877578,0.743634
44,0.000018,0.000072,10,13,2,1.104617127,2,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,1.419999175,1.099999923,1.358699088,0.123801957,218.7505532,1.039043796,0.019203259,0.898635042,0.31472487,53.01946746,0.358528483,0.184230932,0.344857996,0.046859716,17.5877578,0.426683
